"Character","Description","Encoded Byte"
" &#384;","LATIN SMALL LETTER B WITH STROKE (U+0180)"," c680"
" &#385;","LATIN CAPITAL LETTER B WITH HOOK (U+0181)"," c681"
" &#386;","LATIN CAPITAL LETTER B WITH TOPBAR (U+0182)"," c682"
" &#387;","LATIN SMALL LETTER B WITH TOPBAR (U+0183)"," c683"
" &#388;","LATIN CAPITAL LETTER TONE SIX (U+0184)"," c684"
" &#389;","LATIN SMALL LETTER TONE SIX (U+0185)"," c685"
" &#390;","LATIN CAPITAL LETTER OPEN O (U+0186)"," c686"
" &#391;","LATIN CAPITAL LETTER C WITH HOOK (U+0187)"," c687"
" &#392;","LATIN SMALL LETTER C WITH HOOK (U+0188)"," c688"
" &#393;","LATIN CAPITAL LETTER AFRICAN D (U+0189)"," c689"
" &#394;","LATIN CAPITAL LETTER D WITH HOOK (U+018A)"," c68a"
" &#395;","LATIN CAPITAL LETTER D WITH TOPBAR (U+018B)"," c68b"
" &#396;","LATIN SMALL LETTER D WITH TOPBAR (U+018C)"," c68c"
" &#397;","LATIN SMALL LETTER TURNED DELTA (U+018D)"," c68d"
" &#398;","LATIN CAPITAL LETTER REVERSED E (U+018E)"," c68e"
" &#399;","LATIN CAPITAL LETTER SCHWA (U+018F)"," c68f"
" &#400;","LATIN CAPITAL LETTER OPEN E (U+0190)"," c690"
" &#401;","LATIN CAPITAL LETTER F WITH HOOK (U+0191)"," c691"
" &#402;","LATIN SMALL LETTER F WITH HOOK (U+0192)"," c692"
" &#403;","LATIN CAPITAL LETTER G WITH HOOK (U+0193)"," c693"
" &#404;","LATIN CAPITAL LETTER GAMMA (U+0194)"," c694"
" &#405;","LATIN SMALL LETTER HV (U+0195)"," c695"
" &#406;","LATIN CAPITAL LETTER IOTA (U+0196)"," c696"
" &#407;","LATIN CAPITAL LETTER I WITH STROKE (U+0197)"," c697"
" &#408;","LATIN CAPITAL LETTER K WITH HOOK (U+0198)"," c698"
" &#409;","LATIN SMALL LETTER K WITH HOOK (U+0199)"," c699"
" &#410;","LATIN SMALL LETTER L WITH BAR (U+019A)"," c69a"
" &#411;","LATIN SMALL LETTER LAMBDA WITH STROKE (U+019B)"," c69b"
" &#412;","LATIN CAPITAL LETTER TURNED M (U+019C)"," c69c"
" &#413;","LATIN CAPITAL LETTER N WITH LEFT HOOK (U+019D)"," c69d"
" &#414;","LATIN SMALL LETTER N WITH LONG RIGHT LEG (U+019E)"," c69e"
" &#415;","LATIN CAPITAL LETTER O WITH MIDDLE TILDE (U+019F)"," c69f"
" &#416;","LATIN CAPITAL LETTER O WITH HORN (U+01A0)"," c6a0"
" &#417;","LATIN SMALL LETTER O WITH HORN (U+01A1)"," c6a1"
" &#418;","LATIN CAPITAL LETTER OI (U+01A2)"," c6a2"
" &#419;","LATIN SMALL LETTER OI (U+01A3)"," c6a3"
" &#420;","LATIN CAPITAL LETTER P WITH HOOK (U+01A4)"," c6a4"
" &#421;","LATIN SMALL LETTER P WITH HOOK (U+01A5)"," c6a5"
" &#422;","LATIN LETTER YR (U+01A6)"," c6a6"
" &#423;","LATIN CAPITAL LETTER TONE TWO (U+01A7)"," c6a7"
" &#424;","LATIN SMALL LETTER TONE TWO (U+01A8)"," c6a8"
" &#425;","LATIN CAPITAL LETTER ESH (U+01A9)"," c6a9"
" &#426;","LATIN LETTER REVERSED ESH LOOP (U+01AA)"," c6aa"
" &#427;","LATIN SMALL LETTER T WITH PALATAL HOOK (U+01AB)"," c6ab"
" &#428;","LATIN CAPITAL LETTER T WITH HOOK (U+01AC)"," c6ac"
" &#429;","LATIN SMALL LETTER T WITH HOOK (U+01AD)"," c6ad"
" &#430;","LATIN CAPITAL LETTER T WITH RETROFLEX HOOK (U+01AE)"," c6ae"
" &#431;","LATIN CAPITAL LETTER U WITH HORN (U+01AF)"," c6af"
" &#432;","LATIN SMALL LETTER U WITH HORN (U+01B0)"," c6b0"
" &#433;","LATIN CAPITAL LETTER UPSILON (U+01B1)"," c6b1"
" &#434;","LATIN CAPITAL LETTER V WITH HOOK (U+01B2)"," c6b2"
" &#435;","LATIN CAPITAL LETTER Y WITH HOOK (U+01B3)"," c6b3"
" &#436;","LATIN SMALL LETTER Y WITH HOOK (U+01B4)"," c6b4"
" &#437;","LATIN CAPITAL LETTER Z WITH STROKE (U+01B5)"," c6b5"
" &#438;","LATIN SMALL LETTER Z WITH STROKE (U+01B6)"," c6b6"
" &#439;","LATIN CAPITAL LETTER EZH (U+01B7)"," c6b7"
" &#440;","LATIN CAPITAL LETTER EZH REVERSED (U+01B8)"," c6b8"
" &#441;","LATIN SMALL LETTER EZH REVERSED (U+01B9)"," c6b9"
" &#442;","LATIN SMALL LETTER EZH WITH TAIL (U+01BA)"," c6ba"
" &#443;","LATIN LETTER TWO WITH STROKE (U+01BB)"," c6bb"
" &#444;","LATIN CAPITAL LETTER TONE FIVE (U+01BC)"," c6bc"
" &#445;","LATIN SMALL LETTER TONE FIVE (U+01BD)"," c6bd"
" &#446;","LATIN LETTER INVERTED GLOTTAL STOP WITH STROKE (U+01BE)"," c6be"
" &#447;","LATIN LETTER WYNN (U+01BF)"," c6bf"
" &#448;","LATIN LETTER DENTAL CLICK (U+01C0)"," c780"
" &#449;","LATIN LETTER LATERAL CLICK (U+01C1)"," c781"
" &#450;","LATIN LETTER ALVEOLAR CLICK (U+01C2)"," c782"
" &#451;","LATIN LETTER RETROFLEX CLICK (U+01C3)"," c783"
" &#452;","LATIN CAPITAL LETTER DZ WITH CARON (U+01C4)"," c784"
" &#453;","LATIN CAPITAL LETTER D WITH SMALL LETTER Z WITH CARON (U+01C5)"," c785"
" &#454;","LATIN SMALL LETTER DZ WITH CARON (U+01C6)"," c786"
" &#455;","LATIN CAPITAL LETTER LJ (U+01C7)"," c787"
" &#456;","LATIN CAPITAL LETTER L WITH SMALL LETTER J (U+01C8)"," c788"
" &#457;","LATIN SMALL LETTER LJ (U+01C9)"," c789"
" &#458;","LATIN CAPITAL LETTER NJ (U+01CA)"," c78a"
" &#459;","LATIN CAPITAL LETTER N WITH SMALL LETTER J (U+01CB)"," c78b"
" &#460;","LATIN SMALL LETTER NJ (U+01CC)"," c78c"
" &#461;","LATIN CAPITAL LETTER A WITH CARON (U+01CD)"," c78d"
" &#462;","LATIN SMALL LETTER A WITH CARON (U+01CE)"," c78e"
" &#463;","LATIN CAPITAL LETTER I WITH CARON (U+01CF)"," c78f"
" &#464;","LATIN SMALL LETTER I WITH CARON (U+01D0)"," c790"
" &#465;","LATIN CAPITAL LETTER O WITH CARON (U+01D1)"," c791"
" &#466;","LATIN SMALL LETTER O WITH CARON (U+01D2)"," c792"
" &#467;","LATIN CAPITAL LETTER U WITH CARON (U+01D3)"," c793"
" &#468;","LATIN SMALL LETTER U WITH CARON (U+01D4)"," c794"
" &#469;","LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON (U+01D5)"," c795"
" &#470;","LATIN SMALL LETTER U WITH DIAERESIS AND MACRON (U+01D6)"," c796"
" &#471;","LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE (U+01D7)"," c797"
" &#472;","LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE (U+01D8)"," c798"
" &#473;","LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON (U+01D9)"," c799"
" &#474;","LATIN SMALL LETTER U WITH DIAERESIS AND CARON (U+01DA)"," c79a"
" &#475;","LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE (U+01DB)"," c79b"
" &#476;","LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE (U+01DC)"," c79c"
" &#477;","LATIN SMALL LETTER TURNED E (U+01DD)"," c79d"
" &#478;","LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON (U+01DE)"," c79e"
" &#479;","LATIN SMALL LETTER A WITH DIAERESIS AND MACRON (U+01DF)"," c79f"
" &#480;","LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON (U+01E0)"," c7a0"
" &#481;","LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON (U+01E1)"," c7a1"
" &#482;","LATIN CAPITAL LETTER AE WITH MACRON (U+01E2)"," c7a2"
" &#483;","LATIN SMALL LETTER AE WITH MACRON (U+01E3)"," c7a3"
" &#484;","LATIN CAPITAL LETTER G WITH STROKE (U+01E4)"," c7a4"
" &#485;","LATIN SMALL LETTER G WITH STROKE (U+01E5)"," c7a5"
" &#486;","LATIN CAPITAL LETTER G WITH CARON (U+01E6)"," c7a6"
" &#487;","LATIN SMALL LETTER G WITH CARON (U+01E7)"," c7a7"
" &#488;","LATIN CAPITAL LETTER K WITH CARON (U+01E8)"," c7a8"
" &#489;","LATIN SMALL LETTER K WITH CARON (U+01E9)"," c7a9"
" &#490;","LATIN CAPITAL LETTER O WITH OGONEK (U+01EA)"," c7aa"
" &#491;","LATIN SMALL LETTER O WITH OGONEK (U+01EB)"," c7ab"
" &#492;","LATIN CAPITAL LETTER O WITH OGONEK AND MACRON (U+01EC)"," c7ac"
" &#493;","LATIN SMALL LETTER O WITH OGONEK AND MACRON (U+01ED)"," c7ad"
" &#494;","LATIN CAPITAL LETTER EZH WITH CARON (U+01EE)"," c7ae"
" &#495;","LATIN SMALL LETTER EZH WITH CARON (U+01EF)"," c7af"
" &#496;","LATIN SMALL LETTER J WITH CARON (U+01F0)"," c7b0"
" &#497;","LATIN CAPITAL LETTER DZ (U+01F1)"," c7b1"
" &#498;","LATIN CAPITAL LETTER D WITH SMALL LETTER Z (U+01F2)"," c7b2"
" &#499;","LATIN SMALL LETTER DZ (U+01F3)"," c7b3"
" &#500;","LATIN CAPITAL LETTER G WITH ACUTE (U+01F4)"," c7b4"
" &#501;","LATIN SMALL LETTER G WITH ACUTE (U+01F5)"," c7b5"
" &#502;","LATIN CAPITAL LETTER HWAIR (U+01F6)"," c7b6"
" &#503;","LATIN CAPITAL LETTER WYNN (U+01F7)"," c7b7"
" &#504;","LATIN CAPITAL LETTER N WITH GRAVE (U+01F8)"," c7b8"
" &#505;","LATIN SMALL LETTER N WITH GRAVE (U+01F9)"," c7b9"
" &#506;","LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE (U+01FA)"," c7ba"
" &#507;","LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE (U+01FB)"," c7bb"
" &#508;","LATIN CAPITAL LETTER AE WITH ACUTE (U+01FC)"," c7bc"
" &#509;","LATIN SMALL LETTER AE WITH ACUTE (U+01FD)"," c7bd"
" &#510;","LATIN CAPITAL LETTER O WITH STROKE AND ACUTE (U+01FE)"," c7be"
" &#511;","LATIN SMALL LETTER O WITH STROKE AND ACUTE (U+01FF)"," c7bf"
" &#512;","LATIN CAPITAL LETTER A WITH DOUBLE GRAVE (U+0200)"," c880"
" &#513;","LATIN SMALL LETTER A WITH DOUBLE GRAVE (U+0201)"," c881"
" &#514;","LATIN CAPITAL LETTER A WITH INVERTED BREVE (U+0202)"," c882"
" &#515;","LATIN SMALL LETTER A WITH INVERTED BREVE (U+0203)"," c883"
" &#516;","LATIN CAPITAL LETTER E WITH DOUBLE GRAVE (U+0204)"," c884"
" &#517;","LATIN SMALL LETTER E WITH DOUBLE GRAVE (U+0205)"," c885"
" &#518;","LATIN CAPITAL LETTER E WITH INVERTED BREVE (U+0206)"," c886"
" &#519;","LATIN SMALL LETTER E WITH INVERTED BREVE (U+0207)"," c887"
" &#520;","LATIN CAPITAL LETTER I WITH DOUBLE GRAVE (U+0208)"," c888"
" &#521;","LATIN SMALL LETTER I WITH DOUBLE GRAVE (U+0209)"," c889"
" &#522;","LATIN CAPITAL LETTER I WITH INVERTED BREVE (U+020A)"," c88a"
" &#523;","LATIN SMALL LETTER I WITH INVERTED BREVE (U+020B)"," c88b"
" &#524;","LATIN CAPITAL LETTER O WITH DOUBLE GRAVE (U+020C)"," c88c"
" &#525;","LATIN SMALL LETTER O WITH DOUBLE GRAVE (U+020D)"," c88d"
" &#526;","LATIN CAPITAL LETTER O WITH INVERTED BREVE (U+020E)"," c88e"
" &#527;","LATIN SMALL LETTER O WITH INVERTED BREVE (U+020F)"," c88f"
" &#528;","LATIN CAPITAL LETTER R WITH DOUBLE GRAVE (U+0210)"," c890"
" &#529;","LATIN SMALL LETTER R WITH DOUBLE GRAVE (U+0211)"," c891"
" &#530;","LATIN CAPITAL LETTER R WITH INVERTED BREVE (U+0212)"," c892"
" &#531;","LATIN SMALL LETTER R WITH INVERTED BREVE (U+0213)"," c893"
" &#532;","LATIN CAPITAL LETTER U WITH DOUBLE GRAVE (U+0214)"," c894"
" &#533;","LATIN SMALL LETTER U WITH DOUBLE GRAVE (U+0215)"," c895"
" &#534;","LATIN CAPITAL LETTER U WITH INVERTED BREVE (U+0216)"," c896"
" &#535;","LATIN SMALL LETTER U WITH INVERTED BREVE (U+0217)"," c897"
" &#536;","LATIN CAPITAL LETTER S WITH COMMA BELOW (U+0218)"," c898"
" &#537;","LATIN SMALL LETTER S WITH COMMA BELOW (U+0219)"," c899"
" &#538;","LATIN CAPITAL LETTER T WITH COMMA BELOW (U+021A)"," c89a"
" &#539;","LATIN SMALL LETTER T WITH COMMA BELOW (U+021B)"," c89b"
" &#540;","LATIN CAPITAL LETTER YOGH (U+021C)"," c89c"
" &#541;","LATIN SMALL LETTER YOGH (U+021D)"," c89d"
" &#542;","LATIN CAPITAL LETTER H WITH CARON (U+021E)"," c89e"
" &#543;","LATIN SMALL LETTER H WITH CARON (U+021F)"," c89f"
" &#544;","LATIN CAPITAL LETTER N WITH LONG RIGHT LEG (U+0220)"," c8a0"
" &#545;","LATIN SMALL LETTER D WITH CURL (U+0221)"," c8a1"
" &#546;","LATIN CAPITAL LETTER OU (U+0222)"," c8a2"
" &#547;","LATIN SMALL LETTER OU (U+0223)"," c8a3"
" &#548;","LATIN CAPITAL LETTER Z WITH HOOK (U+0224)"," c8a4"
" &#549;","LATIN SMALL LETTER Z WITH HOOK (U+0225)"," c8a5"
" &#550;","LATIN CAPITAL LETTER A WITH DOT ABOVE (U+0226)"," c8a6"
" &#551;","LATIN SMALL LETTER A WITH DOT ABOVE (U+0227)"," c8a7"
" &#552;","LATIN CAPITAL LETTER E WITH CEDILLA (U+0228)"," c8a8"
" &#553;","LATIN SMALL LETTER E WITH CEDILLA (U+0229)"," c8a9"
" &#554;","LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON (U+022A)"," c8aa"
" &#555;","LATIN SMALL LETTER O WITH DIAERESIS AND MACRON (U+022B)"," c8ab"
" &#556;","LATIN CAPITAL LETTER O WITH TILDE AND MACRON (U+022C)"," c8ac"
" &#557;","LATIN SMALL LETTER O WITH TILDE AND MACRON (U+022D)"," c8ad"
" &#558;","LATIN CAPITAL LETTER O WITH DOT ABOVE (U+022E)"," c8ae"
" &#559;","LATIN SMALL LETTER O WITH DOT ABOVE (U+022F)"," c8af"
" &#560;","LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON (U+0230)"," c8b0"
" &#561;","LATIN SMALL LETTER O WITH DOT ABOVE AND MACRON (U+0231)"," c8b1"
" &#562;","LATIN CAPITAL LETTER Y WITH MACRON (U+0232)"," c8b2"
" &#563;","LATIN SMALL LETTER Y WITH MACRON (U+0233)"," c8b3"
" &#564;","LATIN SMALL LETTER L WITH CURL (U+0234)"," c8b4"
" &#565;","LATIN SMALL LETTER N WITH CURL (U+0235)"," c8b5"
" &#566;","LATIN SMALL LETTER T WITH CURL (U+0236)"," c8b6"
" &#567;","LATIN SMALL LETTER DOTLESS J (U+0237)"," c8b7"
" &#568;","LATIN SMALL LETTER DB DIGRAPH (U+0238)"," c8b8"
" &#569;","LATIN SMALL LETTER QP DIGRAPH (U+0239)"," c8b9"
" &#570;","LATIN CAPITAL LETTER A WITH STROKE (U+023A)"," c8ba"
" &#571;","LATIN CAPITAL LETTER C WITH STROKE (U+023B)"," c8bb"
" &#572;","LATIN SMALL LETTER C WITH STROKE (U+023C)"," c8bc"
" &#573;","LATIN CAPITAL LETTER L WITH BAR (U+023D)"," c8bd"
" &#574;","LATIN CAPITAL LETTER T WITH DIAGONAL STROKE (U+023E)"," c8be"
" &#575;","LATIN SMALL LETTER S WITH SWASH TAIL (U+023F)"," c8bf"
" &#576;","LATIN SMALL LETTER Z WITH SWASH TAIL (U+0240)"," c980"
" &#577;","LATIN CAPITAL LETTER GLOTTAL STOP (U+0241)"," c981"
" &#578;","LATIN SMALL LETTER GLOTTAL STOP (U+0242)"," c982"
" &#579;","LATIN CAPITAL LETTER B WITH STROKE (U+0243)"," c983"
" &#580;","LATIN CAPITAL LETTER U BAR (U+0244)"," c984"
" &#581;","LATIN CAPITAL LETTER TURNED V (U+0245)"," c985"
" &#582;","LATIN CAPITAL LETTER E WITH STROKE (U+0246)"," c986"
" &#583;","LATIN SMALL LETTER E WITH STROKE (U+0247)"," c987"
" &#584;","LATIN CAPITAL LETTER J WITH STROKE (U+0248)"," c988"
" &#585;","LATIN SMALL LETTER J WITH STROKE (U+0249)"," c989"
" &#586;","LATIN CAPITAL LETTER SMALL Q WITH HOOK TAIL (U+024A)"," c98a"
" &#587;","LATIN SMALL LETTER Q WITH HOOK TAIL (U+024B)"," c98b"
" &#588;","LATIN CAPITAL LETTER R WITH STROKE (U+024C)"," c98c"
" &#589;","LATIN SMALL LETTER R WITH STROKE (U+024D)"," c98d"
" &#590;","LATIN CAPITAL LETTER Y WITH STROKE (U+024E)"," c98e"
" &#591;","LATIN SMALL LETTER Y WITH STROKE (U+024F)"," c98f"
" &#592;","LATIN SMALL LETTER TURNED A (U+0250)"," c990"
" &#593;","LATIN SMALL LETTER ALPHA (U+0251)"," c991"
" &#594;","LATIN SMALL LETTER TURNED ALPHA (U+0252)"," c992"
" &#595;","LATIN SMALL LETTER B WITH HOOK (U+0253)"," c993"
" &#596;","LATIN SMALL LETTER OPEN O (U+0254)"," c994"
" &#597;","LATIN SMALL LETTER C WITH CURL (U+0255)"," c995"
" &#598;","LATIN SMALL LETTER D WITH TAIL (U+0256)"," c996"
" &#599;","LATIN SMALL LETTER D WITH HOOK (U+0257)"," c997"
" &#600;","LATIN SMALL LETTER REVERSED E (U+0258)"," c998"
" &#601;","LATIN SMALL LETTER SCHWA (U+0259)"," c999"
" &#602;","LATIN SMALL LETTER SCHWA WITH HOOK (U+025A)"," c99a"
" &#603;","LATIN SMALL LETTER OPEN E (U+025B)"," c99b"
" &#604;","LATIN SMALL LETTER REVERSED OPEN E (U+025C)"," c99c"
" &#605;","LATIN SMALL LETTER REVERSED OPEN E WITH HOOK (U+025D)"," c99d"
" &#606;","LATIN SMALL LETTER CLOSED REVERSED OPEN E (U+025E)"," c99e"
" &#607;","LATIN SMALL LETTER DOTLESS J WITH STROKE (U+025F)"," c99f"
" &#608;","LATIN SMALL LETTER G WITH HOOK (U+0260)"," c9a0"
" &#609;","LATIN SMALL LETTER SCRIPT G (U+0261)"," c9a1"
" &#610;","LATIN LETTER SMALL CAPITAL G (U+0262)"," c9a2"
" &#611;","LATIN SMALL LETTER GAMMA (U+0263)"," c9a3"
" &#612;","LATIN SMALL LETTER RAMS HORN (U+0264)"," c9a4"
" &#613;","LATIN SMALL LETTER TURNED H (U+0265)"," c9a5"
" &#614;","LATIN SMALL LETTER H WITH HOOK (U+0266)"," c9a6"
" &#615;","LATIN SMALL LETTER HENG WITH HOOK (U+0267)"," c9a7"
" &#616;","LATIN SMALL LETTER I WITH STROKE (U+0268)"," c9a8"
" &#617;","LATIN SMALL LETTER IOTA (U+0269)"," c9a9"
" &#618;","LATIN LETTER SMALL CAPITAL I (U+026A)"," c9aa"
" &#619;","LATIN SMALL LETTER L WITH MIDDLE TILDE (U+026B)"," c9ab"
" &#620;","LATIN SMALL LETTER L WITH BELT (U+026C)"," c9ac"
" &#621;","LATIN SMALL LETTER L WITH RETROFLEX HOOK (U+026D)"," c9ad"
" &#622;","LATIN SMALL LETTER LEZH (U+026E)"," c9ae"
" &#623;","LATIN SMALL LETTER TURNED M (U+026F)"," c9af"
" &#624;","LATIN SMALL LETTER TURNED M WITH LONG LEG (U+0270)"," c9b0"
" &#625;","LATIN SMALL LETTER M WITH HOOK (U+0271)"," c9b1"
" &#626;","LATIN SMALL LETTER N WITH LEFT HOOK (U+0272)"," c9b2"
" &#627;","LATIN SMALL LETTER N WITH RETROFLEX HOOK (U+0273)"," c9b3"
" &#628;","LATIN LETTER SMALL CAPITAL N (U+0274)"," c9b4"
" &#629;","LATIN SMALL LETTER BARRED O (U+0275)"," c9b5"
" &#630;","LATIN LETTER SMALL CAPITAL OE (U+0276)"," c9b6"
" &#631;","LATIN SMALL LETTER CLOSED OMEGA (U+0277)"," c9b7"
" &#632;","LATIN SMALL LETTER PHI (U+0278)"," c9b8"
" &#633;","LATIN SMALL LETTER TURNED R (U+0279)"," c9b9"
" &#634;","LATIN SMALL LETTER TURNED R WITH LONG LEG (U+027A)"," c9ba"
" &#635;","LATIN SMALL LETTER TURNED R WITH HOOK (U+027B)"," c9bb"
" &#636;","LATIN SMALL LETTER R WITH LONG LEG (U+027C)"," c9bc"
" &#637;","LATIN SMALL LETTER R WITH TAIL (U+027D)"," c9bd"
" &#638;","LATIN SMALL LETTER R WITH FISHHOOK (U+027E)"," c9be"
" &#639;","LATIN SMALL LETTER REVERSED R WITH FISHHOOK (U+027F)"," c9bf"
" &#640;","LATIN LETTER SMALL CAPITAL R (U+0280)"," ca80"
" &#641;","LATIN LETTER SMALL CAPITAL INVERTED R (U+0281)"," ca81"
" &#642;","LATIN SMALL LETTER S WITH HOOK (U+0282)"," ca82"
" &#643;","LATIN SMALL LETTER ESH (U+0283)"," ca83"
" &#644;","LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK (U+0284)"," ca84"
" &#645;","LATIN SMALL LETTER SQUAT REVERSED ESH (U+0285)"," ca85"
" &#646;","LATIN SMALL LETTER ESH WITH CURL (U+0286)"," ca86"
" &#647;","LATIN SMALL LETTER TURNED T (U+0287)"," ca87"
" &#648;","LATIN SMALL LETTER T WITH RETROFLEX HOOK (U+0288)"," ca88"
" &#649;","LATIN SMALL LETTER U BAR (U+0289)"," ca89"
" &#650;","LATIN SMALL LETTER UPSILON (U+028A)"," ca8a"
" &#651;","LATIN SMALL LETTER V WITH HOOK (U+028B)"," ca8b"
" &#652;","LATIN SMALL LETTER TURNED V (U+028C)"," ca8c"
" &#653;","LATIN SMALL LETTER TURNED W (U+028D)"," ca8d"
" &#654;","LATIN SMALL LETTER TURNED Y (U+028E)"," ca8e"
" &#655;","LATIN LETTER SMALL CAPITAL Y (U+028F)"," ca8f"
" &#656;","LATIN SMALL LETTER Z WITH RETROFLEX HOOK (U+0290)"," ca90"
" &#657;","LATIN SMALL LETTER Z WITH CURL (U+0291)"," ca91"
" &#658;","LATIN SMALL LETTER EZH (U+0292)"," ca92"
" &#659;","LATIN SMALL LETTER EZH WITH CURL (U+0293)"," ca93"
" &#660;","LATIN LETTER GLOTTAL STOP (U+0294)"," ca94"
" &#661;","LATIN LETTER PHARYNGEAL VOICED FRICATIVE (U+0295)"," ca95"
" &#662;","LATIN LETTER INVERTED GLOTTAL STOP (U+0296)"," ca96"
" &#663;","LATIN LETTER STRETCHED C (U+0297)"," ca97"
" &#664;","LATIN LETTER BILABIAL CLICK (U+0298)"," ca98"
" &#665;","LATIN LETTER SMALL CAPITAL B (U+0299)"," ca99"
" &#666;","LATIN SMALL LETTER CLOSED OPEN E (U+029A)"," ca9a"
" &#667;","LATIN LETTER SMALL CAPITAL G WITH HOOK (U+029B)"," ca9b"
" &#668;","LATIN LETTER SMALL CAPITAL H (U+029C)"," ca9c"
" &#669;","LATIN SMALL LETTER J WITH CROSSED-TAIL (U+029D)"," ca9d"
" &#670;","LATIN SMALL LETTER TURNED K (U+029E)"," ca9e"
" &#671;","LATIN LETTER SMALL CAPITAL L (U+029F)"," ca9f"
" &#672;","LATIN SMALL LETTER Q WITH HOOK (U+02A0)"," caa0"
" &#673;","LATIN LETTER GLOTTAL STOP WITH STROKE (U+02A1)"," caa1"
" &#674;","LATIN LETTER REVERSED GLOTTAL STOP WITH STROKE (U+02A2)"," caa2"
" &#675;","LATIN SMALL LETTER DZ DIGRAPH (U+02A3)"," caa3"
" &#676;","LATIN SMALL LETTER DEZH DIGRAPH (U+02A4)"," caa4"
" &#677;","LATIN SMALL LETTER DZ DIGRAPH WITH CURL (U+02A5)"," caa5"
" &#678;","LATIN SMALL LETTER TS DIGRAPH (U+02A6)"," caa6"
" &#679;","LATIN SMALL LETTER TESH DIGRAPH (U+02A7)"," caa7"
" &#680;","LATIN SMALL LETTER TC DIGRAPH WITH CURL (U+02A8)"," caa8"
" &#681;","LATIN SMALL LETTER FENG DIGRAPH (U+02A9)"," caa9"
" &#682;","LATIN SMALL LETTER LS DIGRAPH (U+02AA)"," caaa"
" &#683;","LATIN SMALL LETTER LZ DIGRAPH (U+02AB)"," caab"
" &#684;","LATIN LETTER BILABIAL PERCUSSIVE (U+02AC)"," caac"
" &#685;","LATIN LETTER BIDENTAL PERCUSSIVE (U+02AD)"," caad"
" &#686;","LATIN SMALL LETTER TURNED H WITH FISHHOOK (U+02AE)"," caae"
" &#687;","LATIN SMALL LETTER TURNED H WITH FISHHOOK AND TAIL (U+02AF)"," caaf"
" &#688;","MODIFIER LETTER SMALL H (U+02B0)"," cab0"
" &#689;","MODIFIER LETTER SMALL H WITH HOOK (U+02B1)"," cab1"
" &#690;","MODIFIER LETTER SMALL J (U+02B2)"," cab2"
" &#691;","MODIFIER LETTER SMALL R (U+02B3)"," cab3"
" &#692;","MODIFIER LETTER SMALL TURNED R (U+02B4)"," cab4"
" &#693;","MODIFIER LETTER SMALL TURNED R WITH HOOK (U+02B5)"," cab5"
" &#694;","MODIFIER LETTER SMALL CAPITAL INVERTED R (U+02B6)"," cab6"
" &#695;","MODIFIER LETTER SMALL W (U+02B7)"," cab7"
" &#696;","MODIFIER LETTER SMALL Y (U+02B8)"," cab8"
" &#697;","MODIFIER LETTER PRIME (U+02B9)"," cab9"
" &#698;","MODIFIER LETTER DOUBLE PRIME (U+02BA)"," caba"
" &#699;","MODIFIER LETTER TURNED COMMA (U+02BB)"," cabb"
" &#700;","MODIFIER LETTER APOSTROPHE (U+02BC)"," cabc"
" &#701;","MODIFIER LETTER REVERSED COMMA (U+02BD)"," cabd"
" &#702;","MODIFIER LETTER RIGHT HALF RING (U+02BE)"," cabe"
" &#703;","MODIFIER LETTER LEFT HALF RING (U+02BF)"," cabf"
" &#704;","MODIFIER LETTER GLOTTAL STOP (U+02C0)"," cb80"
" &#705;","MODIFIER LETTER REVERSED GLOTTAL STOP (U+02C1)"," cb81"
" &#706;","MODIFIER LETTER LEFT ARROWHEAD (U+02C2)"," cb82"
" &#707;","MODIFIER LETTER RIGHT ARROWHEAD (U+02C3)"," cb83"
" &#708;","MODIFIER LETTER UP ARROWHEAD (U+02C4)"," cb84"
" &#709;","MODIFIER LETTER DOWN ARROWHEAD (U+02C5)"," cb85"
" &#710;","MODIFIER LETTER CIRCUMFLEX ACCENT (U+02C6)"," cb86"
" &#711;","CARON (U+02C7)"," cb87"
" &#712;","MODIFIER LETTER VERTICAL LINE (U+02C8)"," cb88"
" &#713;","MODIFIER LETTER MACRON (U+02C9)"," cb89"
" &#714;","MODIFIER LETTER ACUTE ACCENT (U+02CA)"," cb8a"
" &#715;","MODIFIER LETTER GRAVE ACCENT (U+02CB)"," cb8b"
" &#716;","MODIFIER LETTER LOW VERTICAL LINE (U+02CC)"," cb8c"
" &#717;","MODIFIER LETTER LOW MACRON (U+02CD)"," cb8d"
" &#718;","MODIFIER LETTER LOW GRAVE ACCENT (U+02CE)"," cb8e"
" &#719;","MODIFIER LETTER LOW ACUTE ACCENT (U+02CF)"," cb8f"
